times,suhu_sealing_vertikal_bawah,suhu_sealing_vertikal_atas,suhu_sealing_horizontal_depan,suhu_sealing_horizontal_belakang,output_time_sec
2025-01-15 00:52:51,174.8,174.9,209.4,209.5,6078.0
2025-01-15 00:59:43,174.6,174.8,209.4,209.5,6488.0
2025-01-15 01:02:47,174.7,174.7,209.5,209.4,6600.0
2025-01-15 01:12:38,174.5,174.5,209.5,209.4,7245.0
2025-01-15 01:15:59,174.4,174.5,209.5,209.6,7436.0
2025-01-15 06:16:11,174.4,174.4,209.5,209.3,17432.0
2025-01-15 07:08:38,174.5,174.6,209.3,209.3,1129.0
2025-01-15 07:11:41,174.5,174.6,209.3,209.3,1201.0
2025-01-15 07:14:43,174.5,174.6,209.3,209.3,1383.0
2025-01-15 07:18:01,174.5,174.6,209.3,209.3,1580.0
2025-01-15 07:21:16,174.5,174.6,209.3,209.3,1735.0
2025-01-15 07:24:40,174.5,174.6,209.3,209.3,1938.0
2025-01-15 07:28:35,174.5,174.6,209.3,209.3,2111.0
2025-01-15 07:31:32,174.5,174.6,209.3,209.3,2217.0
2025-01-15 07:34:41,174.5,174.6,209.3,209.3,2405.0
2025-01-15 07:37:44,174.5,174.6,209.3,209.3,2554.0
2025-01-15 07:41:44,174.5,174.6,209.3,209.3,2793.0
2025-01-15 07:44:47,174.5,174.6,209.3,209.3,2940.0
2025-01-15 07:48:04,174.5,174.6,209.3,209.3,3135.0
2025-01-15 07:50:50,174.5,174.6,209.3,209.3,3301.0
2025-01-15 07:54:10,174.5,174.6,209.3,209.3,3430.0
2025-01-15 07:57:15,174.5,174.6,209.3,209.3,3612.0
2025-01-15 08:00:18,174.5,174.6,209.3,209.3,3645.0
2025-01-15 08:02:57,174.5,174.6,209.3,209.3,3680.0
2025-01-15 08:06:06,174.5,174.6,209.3,209.3,3876.0
2025-01-15 08:09:14,174.5,174.6,209.3,209.3,3995.0
2025-01-15 08:12:10,174.5,174.6,209.3,209.3,4136.0
2025-01-15 08:15:13,174.5,174.6,209.3,209.3,4314.0
2025-01-15 08:18:08,174.5,174.6,209.3,209.3,4419.0
2025-01-15 08:20:35,174.5,174.6,209.3,209.3,4569.0
2025-01-15 08:23:26,174.5,174.6,209.3,209.3,4739.0
2025-01-15 08:26:50,174.5,174.6,209.3,209.3,4891.0
2025-01-15 08:29:56,174.5,174.6,209.3,209.3,5061.0
2025-01-15 08:33:13,174.5,174.6,209.3,209.3,5254.0
2025-01-15 08:36:04,174.5,174.6,209.3,209.3,5428.0
2025-01-15 08:39:07,174.5,174.6,209.3,209.3,5608.0
2025-01-15 08:42:14,174.5,174.6,209.3,209.3,5794.0
2025-01-15 08:45:14,174.5,174.6,209.3,209.3,5971.0
2025-01-15 08:48:00,174.5,174.6,209.3,209.3,6139.0
2025-01-15 08:50:53,174.5,174.6,209.3,209.3,6243.0
2025-01-15 08:54:21,174.5,174.6,209.3,209.3,6410.0
2025-01-15 08:57:08,174.5,174.6,209.3,209.3,6584.0
2025-01-15 09:00:17,174.5,174.6,209.3,209.3,6729.0
2025-01-15 09:03:13,174.5,174.6,209.3,209.3,6804.0
2025-01-15 09:06:14,174.5,174.6,209.3,209.3,6988.0
2025-01-15 09:09:17,174.5,174.6,209.3,209.3,7046.0
2025-01-15 09:12:26,174.5,174.6,209.3,209.3,7174.0
2025-01-15 09:15:20,174.5,174.6,209.3,209.3,7323.0
2025-01-15 09:18:12,174.5,174.6,209.3,209.3,7398.0
2025-01-15 09:21:00,174.5,174.6,209.3,209.3,7527.0
2025-01-15 09:24:18,174.5,174.6,209.3,209.3,7727.0
2025-01-15 09:27:22,174.5,174.6,209.3,209.3,7908.0
2025-01-15 09:30:27,174.5,174.6,209.3,209.3,8003.0
2025-01-15 09:33:26,174.5,174.6,209.3,209.3,8118.0
2025-01-15 09:36:32,174.5,174.6,209.3,209.3,8187.0
2025-01-15 09:39:38,174.5,174.6,209.3,209.3,8368.0
2025-01-15 09:42:06,174.5,174.6,209.3,209.3,8482.0
2025-01-15 09:44:56,174.5,174.6,209.3,209.3,8557.0
2025-01-15 09:48:18,174.5,174.6,209.3,209.3,8757.0
2025-01-15 09:51:42,174.5,174.6,209.3,209.3,8959.0
2025-01-15 09:54:35,174.5,174.6,209.3,209.3,9133.0
2025-01-15 09:57:50,174.5,174.6,209.3,209.3,9272.0
2025-01-15 10:00:46,174.5,174.6,209.3,209.3,9443.0
2025-01-15 10:03:45,174.5,174.6,209.3,209.3,9587.0
2025-01-15 10:06:41,174.5,174.6,209.3,209.3,9748.0
2025-01-15 10:09:44,174.5,174.6,209.3,209.3,9822.0
2025-01-15 10:13:00,174.5,174.6,209.3,209.3,9989.0
2025-01-15 10:16:43,174.5,174.6,209.3,209.3,10206.0
2025-01-15 10:19:56,174.5,174.6,209.3,209.3,10403.0
2025-01-15 10:23:47,174.5,174.6,209.3,209.3,10633.0
2025-01-15 10:26:18,174.5,174.6,209.3,209.3,10785.0
2025-01-15 10:29:21,174.5,174.6,209.3,209.3,10954.0
2025-01-15 10:32:21,174.5,174.6,209.3,209.3,11130.0
2025-01-15 10:35:23,174.5,174.6,209.3,209.3,11238.0
2025-01-15 10:38:58,174.5,174.6,209.3,209.3,11388.0
2025-01-15 10:42:00,174.5,174.6,209.3,209.3,11541.0
2025-01-15 10:44:59,174.5,174.6,209.3,209.3,11720.0
2025-01-15 10:48:11,174.5,174.6,209.3,209.3,11908.0
2025-01-15 10:51:10,174.5,174.6,209.3,209.3,12049.0
2025-01-15 10:54:29,174.5,174.6,209.3,209.3,12247.0
2025-01-15 10:57:17,174.5,174.6,209.3,209.3,12414.0
2025-01-15 11:00:18,174.5,174.6,209.3,209.3,12597.0
2025-01-15 11:03:22,174.5,174.6,209.3,209.3,12774.0
2025-01-15 11:06:25,174.5,174.6,209.3,209.3,12957.0
2025-01-15 11:09:27,174.5,174.6,209.3,209.3,13068.0
2025-01-15 11:12:26,174.5,174.6,209.3,209.3,13250.0
2025-01-15 11:15:41,174.5,174.6,209.3,209.3,13441.0
2025-01-15 11:18:09,174.5,174.6,209.3,209.3,13585.0
2025-01-15 11:21:15,174.5,174.6,209.3,209.3,13753.0
2025-01-15 11:24:11,174.5,174.6,209.3,209.3,13932.0
2025-01-15 11:27:12,174.5,174.6,209.3,209.3,14075.0
2025-01-15 11:30:52,174.5,174.6,209.3,209.3,14280.0
2025-01-15 11:34:02,174.5,174.6,209.3,209.3,14430.0
2025-01-15 11:37:10,174.5,174.6,209.3,209.3,14617.0
2025-01-15 11:41:03,174.5,174.6,209.3,209.3,14851.0
2025-01-15 11:43:56,174.5,174.6,209.3,209.3,15019.0
2025-01-15 11:47:04,174.5,174.6,209.3,209.3,15104.0
2025-01-15 11:50:00,174.5,174.6,209.3,209.3,15217.0
2025-01-15 11:53:02,174.5,174.6,209.3,209.3,15397.0
2025-01-15 11:56:09,174.5,174.6,209.3,209.3,15575.0
2025-01-15 12:00:01,174.5,174.6,209.3,209.3,15811.0
2025-01-15 12:03:12,174.5,174.6,209.3,209.3,15967.0
2025-01-15 12:06:13,174.5,174.6,209.3,209.3,16153.0
2025-01-15 12:09:17,174.5,174.6,209.3,209.3,16335.0
2025-01-15 12:12:37,174.5,174.6,209.3,209.3,16521.0
2025-01-15 12:15:51,174.5,174.6,209.3,209.3,16717.0
2025-01-15 12:19:00,174.5,174.6,209.3,209.3,16912.0
2025-01-15 12:22:12,174.5,174.6,209.3,209.3,17066.0
2025-01-15 12:25:49,174.5,174.6,209.3,209.3,17245.0
2025-01-15 12:28:45,174.5,174.6,209.3,209.3,17418.0
2025-01-15 12:31:34,174.5,174.6,209.3,209.3,17586.0
2025-01-15 12:34:28,174.5,174.6,209.3,209.3,17763.0
2025-01-15 12:37:57,174.5,174.6,209.3,209.3,17884.0
2025-01-15 12:41:47,174.5,174.6,209.3,209.3,17934.0
2025-01-15 12:44:51,174.5,174.6,209.3,209.3,18102.0
2025-01-15 12:47:56,174.5,174.6,209.3,209.3,18262.0
2025-01-15 12:50:52,174.5,174.6,209.3,209.3,18442.0
2025-01-15 12:54:14,174.5,174.6,209.3,209.3,18604.0
2025-01-15 12:57:03,174.5,174.6,209.3,209.3,18776.0
2025-01-15 13:00:02,174.5,174.6,209.3,209.3,18951.0
2025-01-15 13:02:57,174.5,174.6,209.3,209.3,19131.0
2025-01-15 13:06:20,174.5,174.6,209.3,209.3,19328.0
2025-01-15 13:09:20,174.5,174.6,209.3,209.3,19508.0
2025-01-15 13:12:24,174.5,174.6,209.3,209.3,19689.0
2025-01-15 13:15:57,174.5,174.6,209.3,209.3,19867.0
2025-01-15 13:18:54,174.5,174.6,209.3,209.3,20044.0
2025-01-15 13:22:07,174.5,174.6,209.3,209.3,20238.0
2025-01-15 13:25:02,174.5,174.6,209.3,209.3,20410.0
2025-01-15 13:28:05,174.5,174.6,209.3,209.3,20596.0
2025-01-15 13:31:05,174.5,174.6,209.3,209.3,20775.0
2025-01-15 13:33:59,174.5,174.6,209.3,209.3,20948.0
2025-01-15 13:38:08,174.5,174.6,209.3,209.3,21197.0
2025-01-15 13:41:20,174.5,174.6,209.3,209.3,21284.0
2025-01-15 13:44:20,174.5,174.6,209.3,209.3,21413.0
2025-01-15 13:47:26,174.5,174.6,209.3,209.3,21601.0
2025-01-15 13:50:55,174.5,174.6,209.3,209.3,21707.0
2025-01-15 13:53:54,174.5,174.6,209.3,209.3,21798.0
2025-01-15 13:56:54,174.5,174.6,209.3,209.3,21974.0
2025-01-15 13:59:57,174.5,174.6,209.3,209.3,22164.0
2025-01-15 14:03:03,174.5,174.6,209.3,209.3,22328.0
2025-01-15 14:06:04,174.5,174.6,209.3,209.3,22508.0
2025-01-15 14:09:01,174.5,174.6,209.3,209.3,22683.0
2025-01-15 14:11:45,174.5,174.6,209.3,209.3,22739.0
2025-01-15 14:16:38,174.5,174.6,209.3,209.3,22971.0
2025-01-15 14:19:37,174.5,174.6,209.3,209.3,23147.0
2025-01-15 14:22:44,174.5,174.6,209.3,209.3,23300.0
2025-01-15 14:26:00,174.5,174.6,209.3,209.3,23494.0
2025-01-15 14:29:06,174.5,174.6,209.3,209.3,23638.0
2025-01-15 14:32:12,174.5,174.6,209.3,209.3,23722.0
2025-01-15 14:35:11,174.5,174.6,209.3,209.3,23765.0
2025-01-15 14:38:17,174.5,174.6,209.3,209.3,23949.0
2025-01-15 14:41:23,174.5,174.6,209.3,209.3,24111.0
2025-01-15 14:44:49,174.5,174.6,209.3,209.3,24184.0
2025-01-15 14:48:04,174.5,174.6,209.3,209.3,24371.0
2025-01-15 14:51:14,174.5,174.6,209.3,209.3,24544.0
2025-01-15 14:53:47,174.5,174.6,209.3,209.3,24663.0
2025-01-15 14:56:40,174.5,174.6,209.3,209.3,24805.0
2025-01-15 14:59:44,174.5,174.6,209.3,209.3,24959.0
2025-01-15 15:02:55,174.5,174.6,209.3,209.3,25142.0
